Kategorie,Alternativer Kategoriename,Name,Alternativer name,Beschreibung,Art der Herausforderung 1,Herausforderungsopt. 2,Herausforderungsopt. 3,Kriterium 1,Kriterium 2,Kriterium 3,Material 1,Material 2,Minuten,Wiederholungen,Bewertung,Ergebnistyp,Token-Belohnungssystem
Haushalt,,Bad putzen,Floor bucket challenge,Das Badezimmer kann auch mal wieder eine Reinigung gebrauchen? Dann ran an die Eimer und losgeputzt.,,,,,,,,,,,,,
Haushalt,,Blumen pflanzen,Let love grow,Topfe deine Zimmerpflanzen um oder säe Blumensamen aus.,,,,,,,,,,,,,
Haushalt,,Dinge reparieren,Fix it!,Nutze die Zeit und repariere etwas.,,,,,,,,,,,,,
Haushalt,,Steuererklärung,Das Geld liegt unterm Aktendeckel!,Mach endlich deine Steuererklärung und freue Dich vielleicht über eine saftige Steuerrückerstattung.,Gemeinsamstark,Selbstherausforderung,,geschafft_ja_nein,,,,,,,ja/nein,,
Haushalt,,Briefe/Unterlagen abheften,Ordnung ist das halbe Leben,Sortiere deine Ablage und hefte alles ordentlich ab.,,,,,,,,,,,,,
Haushalt,,Trenne Dich von Altem,Downsizing,"Trenne dich von 5 Dingen, die du in den letzten 10 Jahren nicht benutzt hast.",Fremdherausforderung,Selbstherausforderung,Gemeinsamstark,geschafft_ja_nein,Stückzahl,,,,,,Ja/Nein,Success,
kochen/backen,Roberts Koch-Institut,Picknick,Picknick,Plane und organisiere ein Picknick für drinnen mit allem was dir so einfällt.,Selbstherausforderung,Fremdherausforderung,,geschafft_ja_nein,Qualität,,Alles was man für ein Picknick braucht und da hat.,,,,Ja/Nein,Upload (z.B. Foto / Video),
kochen/backen,,Backen oder kochen,In Roberts Koch-Institut,Backe oder Koche etwas und teile das Ergebnis,Selbstherausforderung,Gemeinsamstark,,geschafft_ja_nein,Qualität,,Lebensmittel der Wahl,Rezept,,,,,
kochen/backen,,Kartoffel/Karotten/Spargel- schäl-Challenge,Wo gehobelt wird...,Schäle ein Kilo Kartoffeln so schnell wie möglich.,Fremdherausforderung,Selbstherausforderung,,Zeit,,,Kartoffeln,Sparschäler,,,,Zeit,
kochen/backen,,Lieblingsrezepte,Gaumenschmaus,Erstelle und gestalte eine Rezeptesammlung mit den Lieblingsrezepten deiner Familie ,Selbstherausforderung,Gemeinsamstark,,geschafft_ja_nein,,,Lieblingzutaten,,,,Ja/Nein,Upload (z.B. Foto / Video),
kochen/backen,,Gemeinsam/Alleine neue Rezepte/Lebensmittel ausprobieren,Of(f)en für Neues?,"Wage dich an ein neues Rezept, oder an ein Lebensmittel, dass du noch nicht probiert hast, oder früher nicht mochtest.",Selbstherausforderung,Gemeinsamstark,,geschafft_ja_nein,,,Lebensmittel der Wahl,,,,Ja/Nein,Upload (z.B. Foto / Video),
kreativität,,let's get spicy!,,Mache mit jemandem eine Gewürz-Blind-Verkostung,Fremdherausforderung,,,geschafft_ja_nein,,,Gewürze,,,,,,
kreativität,,Smells like Teen Spirit,,Mache mit jemandem eine Geruchs-Challenge mit verschiedensten Gerüchen,Fremdherausforderung,,,Stückzahl,geschafft_ja_nein,,Gewürze,Düfte,,,,,
kochen/backen,,Leckere Rezepte mit haltbaren Lebensmitteln,Long lasting lunch,Entwickle mit lange haltbaren Lebensmitteln neue Rezepte und teile sie mit der Community.,Selbstherausforderung,Gemeinsamstark,,geschafft_ja_nein,Qualität,,Lange haltbare Lebensmittel,,,,Ja/Nein,Upload (z.B. Foto / Video),
kochen/backen,,Auf der Fensterbank/Balkon Kresse ziehen,Let it grow,Züchte auf der Fensterbank Kresse oder andere Sprossen,Selbstherausforderung,Gemeinsamstark,,geschafft_ja_nein,,,Kresse o.ä. Samen,,,,Ja/Nein,Upload (z.B. Foto / Video),
kochen/backen,,Marmelade kochen ,Sweets for my sweets,Koche leckere Marmelade / Gelee ein.,Selbstherausforderung,Gemeinsamstark,,geschafft_ja_nein,,,Obst,Gelierzucker,,,Ja/Nein,Upload (z.B. Foto / Video),
kochen/backen,,Mottotisch eindecken / Mottoessen kochen,Anders Dinieren,Überleg dir ein Motto und decke für die nächste Mahlzeit den Tisch passend zu dem Motto,Selbstherausforderung,Fremdherausforderung,Gemeinsamstark,geschafft_ja_nein,Qualität,,Dekoartikel,,,,Ja/Nein,Upload (z.B. Foto / Video),
kreativität,,Ostereier bemalen,Frohe Ostern!,Ostern steht vor der Tür. Malt gemeinsam Ostereier an.,Gemeinsamstark,Fremdherausforderung,,geschafft_ja_nein,Qualität,,gekochte Eier,Stifte und Farben,,,Ja/Nein,Upload (z.B. Foto / Video),
kochen/backen,,Mit 3 Lebensmitteln kochen,Die großen 3,Koche etwas mit nur 3 Lebensmitteln,,,,,,,,,,,Ja/Nein,Upload (z.B. Foto / Video),
kreativität,kreativer Kopf/Einfallsreichtum,Schöne Fotos,Schöne Fotos,"Fotografiere 5 schöne Sachen, die im Alltag als selbstverständlich hingenommen oder übersehen werden ",Selbstherausforderung,Gemeinsamstark,,geschafft_ja_nein,,,Smartphone,Kamera,,,Ja/Nein,Upload (z.B. Foto / Video),
kreativität,,Ungewöhnliches ,Ungewöhnliches ,Fotografiere 5 ungewöhnliche Sachen in deiner Umgebung,Selbstherausforderung,Gemeinsamstark,,geschafft_ja_nein,,,Smartphone,Kamera,,,Ja/Nein,Upload (z.B. Foto / Video),
kreativität,,Take a picture!,Take a picture!,Fotografiere 10 Dinge deiner Wahl!,Selbstherausforderung,Gemeinsamstark,,geschafft_ja_nein,,,Smartphone,Kamera,,,Ja/Nein,Upload (z.B. Foto / Video),
kreativität,,Sudoku lösen,Sudoku lösen,Löse ein Sudoku,,,,geschafft_ja_nein,,,Sudoku,,,,Ja/Nein,Success,
kreativität,,Klatsch Reihenfolge mit Bechern erlernen,Clap it,Schaue dir ein Video auf Youtube an und erlerne die Klatschreihenfolge,Fremdherausforderung,Selbstherausforderung,Gemeinsamstark,geschafft_ja_nein,Qualität,,Plastikbecher,,,,Ja/Nein,Success,
kreativität,,Flossdance,Flossdance,Lerne oder übe den Floss-Dance,,,,,,,,,,,Ja/Nein,Upload (z.B. Foto / Video),
kreativität,,Nudelkunst,Nudelmonster,Nimm dir eine Hand voll Nudeln und gestalte ein Bild,Selbstherausforderung,Gemeinsamstark,,geschafft_ja_nein,Qualität,,ungekochte Nudeln,Papier,Klebstoff,,Ja/Nein,,
kreativität,,Eine Zeitkapsel erstellen,Vergangenheit ist Zukunft,"Suche Gegenstände, Zeitungsartikel, etc. aus, die du in eine Zeitkapsel legen möchtest. Bewahre die Zeitkapsel an einem sicheren Ort und entscheide in wie vielen Jahren du sie wieder öffnen willst.",Selbstherausforderung,,,geschafft_ja_nein,,,emotional wichtige Gegenstände,verschließbare Box,,,Ja/Nein,,
kreativität,,Karneval,Karneval,Verkleidet euch und macht anschließend ein Fotoshooting. Das verrückteste Kostüm gewinnt.,Gemeinsamstark,Selbstherausforderung,,geschafft_ja_nein,,,Kostüme,,,,Ja/Nein,,
kreativität,,Möge die Schlacht beginnen!,Pillowtalk,Mache eine Kissenschlacht - und wenn du alleine bist erst recht! ,Selbstherausforderung,Gemeinsamstark,,geschafft_ja_nein,,,Kissen,,,,Ja/Nein,,
kreativität,,Schnitzeljagd,Find the Schnitzel,Organisiere für deine Mitbewohner/ Familie eine Schnitzeljagd durch die Wohnung mit einem Schatz am Ende!,,,,geschafft_ja_nein,,,,,,,Ja/Nein,,
kreativität,,Freundschaftsbänder knüpfen,Friendship,Knüpfe ein Freundschaftsband für einen guten Freund oder jemanden in der Familie,Selbstherausforderung,,,geschafft_ja_nein,,,,,,,Ja/Nein,,
kreativität,,Nähen/Häkeln/Stricken lernen,Stricklise,"Lerne wie man einen Schal strickt mit einer Länge von 1,50 m.",Selbstherausforderung,Fremdherausforderung,Gemeinsamstark,geschafft_ja_nein,Länge,,,,,,Ja/Nein,,
kreativität,,Etwas Nähen/Häkeln/Stricken,Stitch it,,,,,,,,,,,,Ja/Nein,,
kreativität,,Letters to Cleo,Letters to Cleo,Schreibe heute einen Brief an jemanden den du gerne magst,Selbstherausforderung,,,geschafft_ja_nein,,,Papier ,Stift ,,,Ja/Nein,,
kreativität,,"Summ, summ, summ...","Summ, summ, summ...",Summe jemandem eine Melodie vor und lass ihn raten!,Gemeinsamstark,Fremdherausforderung,,geschafft_ja_nein,Qualität,,,,,,Ja/Nein,,
kreativität,,Du und deine Vorfahren,Du und deine Vorfahren,Zeichne oder gestalte deinen Stambaum,Selbstherausforderung,Gemeinsamstark,,,,,Papier,Stift ,,,Ja/Nein,,
kreativität,,Bild nachmalen,to draw,Mal ein Bild nach-Challenge,Fremdherausforderung,Selbstherausforderung,Gemeinsamstark,Qualität,Zeit,,Papier,Stifte,30,,Foto,Upload (z.B. Foto / Video),
kreativität,,"Baut ein Fort, das schönste Fort gewinnt",Wer hat hier zu viel Big Bang geschaut? :-) Ich XD wer ist Ich?,Baue ein Fort und das schönste Fort gewinnt,Fremdherausforderung,,,Qualität,,,Decken,Stühle,60,,Foto,Upload (z.B. Foto / Video),
kreativität,,Schreibe eine Kurzgeschichte/Gedicht/o.ä.,F-U-Goethe,Schreibe ein Gedicht und trage es vor,Fremdherausforderung,,,Qualität,,,,,,,Ja/Nein,Upload (z.B. Foto / Video),
kreativität,,Erstelle eine Playlist,DJ,Erstelle eine Playlist mit deinen Lieblingsliedern,,,,geschafft_ja_nein,,,Musiktitel,,,,Ja/Nein,,
kreativität,,Quiz entwickeln / ein Quiz im Netz um die Wette lösen,Quizmaster,,,,,,,,,,,,Ja/Nein,,
